status,arrival,req_ram,req_cpu,dur,client,vm
ok,9.006767457992291,181.989801952637,0.5759383759948267,0.5876788978186175,22533,9
ok,9.033565636852941,341.55188326224663,0.49935624328461964,1.1671971017495972,436396,0
ok,9.069198584544152,178.80314566979382,0.7214564458077691,4.7944917435978915,878264,1
ok,9.102465753874059,203.0364056805552,0.309455196250806,3.242217124838453,960778,2
ok,9.123174127641924,263.19146761649347,0.9372355015134537,5.308567696476851,583484,3
ok,9.142689430046993,136.32855660834568,0.644046497631136,3.6630986005008914,966984,4
ok,9.335001314430475,287.8590507129122,0.5230310812124799,14.959298045405141,673494,5
ok,9.553881537742111,305.79446105040404,0.6966317460756618,4.711130994476061,104857,6
ok,9.754821046371971,126.7973422089908,0.6764776949804798,1.4857625377691401,194936,7
ok,9.879883160475268,289.93803231446753,0.38271937762396996,2.954272918812457,659924,8
ok,10.070721138112333,234.92902169350475,0.507644328015074,5.061316154843517,758790,9
ok,10.708421634687301,319.206160011626,1.0195581422177784,0.7276029004006437,901719,0
ok,10.763371490763442,276.3213105744171,0.42972463738908473,5.899291509612043,310787,1
ok,10.910149837901914,180.17086505872163,0.2343150679110622,4.356316849730798,126762,2
ok,11.482730361478708,148.00769844994193,0.34743752819608464,1.5202300637296562,779245,3
ok,11.656103393007712,145.71752802466233,0.4868221577712997,3.551631914457431,348856,4
ok,11.68587922274763,148.6932667463047,0.6889834801296949,0.13997109576690941,939078,5
ok,11.798379871225277,170.49996985065673,0.7131234787085124,6.9286388228530456,756531,6
ok,11.887840140355262,245.26034604331147,0.5100857335788684,8.14720553242773,745738,7
ok,11.891947264595672,175.58614404236346,0.8651547564936294,14.739373806093115,525126,8
ok,11.923234750499667,171.02449118588652,0.4596846660643822,2.79849370768802,981929,9
ok,11.937663739404442,293.9381931157623,0.6037063660234707,5.966821307477655,442611,0
ok,12.119330978130776,276.26111567302894,0.4131518499989995,2.799806019168252,532380,1
ok,12.336496899056376,120.38072278501636,0.5706126172946624,0.4081488728721125,870355,2
ok,12.338809745087675,194.33016813535045,0.3517127822171895,0.6014792662664672,954398,3
ok,12.342331820991108,152.91799628921973,0.7852934864830556,6.870613597166047,702866,4
ok,12.417609195987609,104.19961082526049,0.01,3.212307656097135,199071,5
ok,12.62078182623323,266.5782518686965,0.45985447468933405,0.18882631353760584,318104,6
ok,12.806614879803464,223.7379352469139,0.31254254501789297,0.1,297962,7
ok,12.903308512925774,170.2547900287235,0.4185185400104986,4.870869277586625,616122,8
ok,13.198613001596193,234.40762621869965,0.5487163098883515,2.5614145285211967,925346,9
ok,13.234548376500554,171.06832490998198,0.5640158031847181,1.534647152235408,523619,0
ok,13.448267260096232,219.80068416505972,0.15674189601385347,1.8877932870585519,887302,1
ok,13.750338472911144,121.57747168210568,0.10603327346455421,3.5901991616372992,986619,2
ok,14.099716237617086,37.541114764961776,0.551468553122167,9.812358925113408,529828,3
ok,14.201918081063841,162.75030933609816,0.8757399402623809,4.948462579974262,412461,4
ok,14.244746422198709,202.03700285337553,0.4674468708229839,1.8657946943530634,617613,5
ok,14.335783023827089,188.61046414375147,0.6612599711528597,1.4210806728146488,894737,6
ok,14.393794418881368,185.54206546779895,0.4761586052455002,1.2893850223226715,36202,7
ok,14.440972769518284,230.790839851067,0.26622834450606847,2.6686498094983335,503554,8
ok,14.652814236875972,246.52732753063066,0.31857671732741266,1.3745244132352143,254531,9
ok,14.75954303163353,161.0933655384647,0.46684586776305104,1.2991263135531563,779858,0
ok,14.895911705368475,485.86872590817404,0.3966511140909793,0.9601636908882544,836138,1
ok,15.001616233943913,227.1541678809379,0.513459395611001,11.591671550476711,423926,2
ok,15.11478753522324,193.53568242342234,0.3544769761460427,2.3534980222443656,434439,3
ok,15.577660006319455,251.42197289585653,0.6060493546413749,5.006735788469735,697034,4
ok,15.715763742389976,174.47982024031668,0.4969705737296637,2.177091951544085,181411,5
ok,15.800440640254484,181.07074344659662,0.847085231277326,3.056959695221308,384957,6
ok,15.818954244383763,147.16157516376,0.2708754130980816,3.7105962308565905,575457,7
ok,15.994711011151425,115.33718204002598,0.4796103030303462,1.873477272613828,925611,8
ok,16.082489337845274,289.48919115864817,0.6439719565713147,0.6982404847665103,737191,9
ok,16.085387058358073,310.2008021908865,0.5169593854799788,0.1,813524,0
ok,16.22490895220214,159.13630940949403,0.8760189797367628,12.31310534621448,707249,1
ok,16.3541388704382,199.4956779792223,0.4599400231514677,9.806259382567971,774075,2
ok,16.575927622996993,307.28269452496795,0.7303081370397639,4.319672522996626,392904,3
ok,16.615973905164072,351.66331095998294,0.6336427863523397,2.1726390605557175,90667,4
ok,16.858067754548824,249.54758704091637,0.3472615720658395,1.7096547650131797,460284,5
ok,17.04385932508717,305.4873016894222,0.4380660257295248,2.18118003732377,696000,6
ok,17.073910360059603,139.6820475878552,0.7106268074411851,6.607124493617612,533123,7
ok,17.244463834914825,145.6253808006084,0.3675271824471691,1.1091465978950947,113174,8
ok,17.26368327057987,176.9768978198656,0.48505435899872074,0.5878423691996854,816256,9
ok,17.4040069618636,143.3254377878681,0.3699812867507792,12.464708003512,171650,0
ok,17.559309147056872,53.46333534168605,0.6009820685787499,9.004628181333736,546243,1
ok,17.630743048611603,217.13451727759985,0.5880326898573338,3.2507383492158723,880753,2
ok,17.647607464303054,174.66136999870758,0.2262479328777416,2.5892671869538093,412357,3
rej,17.667445517632675,134.6728529496874,0.6203254083093667,5.162657285647335,388521,4
ok,17.84290404495993,236.89700702992428,0.23569440704835048,6.910085114853882,513480,5
ok,17.969993472800773,71.35548756287727,0.6527360914915318,6.57650492306542,768360,6
ok,18.333249207503155,313.51988637666534,0.4251345939434247,0.2888926521020401,31011,7
ok,18.55868136213434,166.13462873352555,0.2516263974371237,1.7839536526755397,492117,8
ok,18.569118146083863,180.28479922120027,0.6535933408161181,3.782537990083448,45599,9
ok,18.654299197408307,175.4367520081504,0.4230502297416272,0.39623783500017057,323516,0
ok,18.74293887599576,136.97583580521473,0.23715703527691473,0.5718119376700549,737549,1
ok,18.936571034956327,222.49977460664374,0.24919585129561744,0.22940999152286473,889508,2
ok,19.129947187854963,209.8500039114842,0.22608004283711824,6.736859676846899,644675,3
ok,19.150251978700783,83.03038271283148,0.5527170967024165,7.118860795958966,621998,4
ok,19.310680936101466,220.51833013851976,0.4541623835286044,0.1,606261,5
ok,19.556656827298962,33.46890813306578,0.7533933622429778,7.109544088465093,412719,6
ok,19.714414019222914,234.79595629302995,0.63604243232424,3.6354724552562274,678592,7
ok,19.867843187659446,154.50735334590397,0.7549875772846141,7.355396191113115,178624,8
ok,20.041442532811587,84.95161031077302,0.8318105216241285,5.975197778772449,176783,9
ok,20.04183224691722,224.88580572272173,0.5431428987952183,1.367684329272452,526635,0
ok,20.05792044092975,143.19067844942145,0.2992645980046333,10.729125184068858,237961,1
ok,20.155849957725952,142.39722455401125,0.41506871092886555,1.7134689940538017,12899,2
ok,20.274797957834714,161.9914283771766,0.1080985128941771,2.935988155232667,807952,3
ok,20.49492896945946,50.42328962993281,0.321508155576723,5.619213653253911,209208,4
ok,20.526224374231628,44.21944619225471,0.4311350092954537,4.9289490434164165,565829,5
ok,20.788537613614402,316.42555036244823,0.44647408939165206,3.0529139724490504,964780,6
ok,20.922010176851284,184.57432729680278,0.28815173376054226,12.00165054906995,902079,7
ok,21.038270540699653,202.23387500088907,0.816948929342769,3.4463298593009384,574974,8
ok,21.269629505260784,209.7006809442338,0.3569524682530897,14.302736594468211,243454,9
ok,21.36081961158427,233.3133203642287,0.4268668725755423,1.4493499366702869,424101,0
ok,21.51161909397954,251.37799280374293,0.5115216079893501,4.8953101094602935,538728,1
ok,21.739121958511976,181.6526743929384,0.39110323423120513,14.607986801229849,360527,2
ok,21.740244370493883,221.25287915611014,0.5474717663880906,2.897582116982738,998734,3
ok,21.777165848161232,191.75379511590882,0.7818728312056658,0.7213072497397823,888627,4
ok,22.10579010246128,198.35114829542403,0.6930536190374682,9.7141618295865,605861,5
ok,22.173574914484806,127.56554725080385,0.8256852990034333,3.523488331144379,370434,6
ok,22.19984588087518,311.1416588176889,0.5608365335885579,3.5370411713835024,481434,7
ok,22.396015528650466,281.26119971258436,0.6431358837409061,2.6084460047321634,953947,8
ok,22.52644961681634,156.6297934863544,0.30514950355892084,0.9473630443577148,282359,9
ok,22.592115318994995,158.07832872288017,0.20884211192497848,18.48906468300046,691236,0
ok,22.64038184248302,279.62818369183293,0.430442611095121,4.832485446072113,574615,1
ok,22.67668140832795,174.51058930499505,0.7782788791829234,2.2120292171143365,638524,2
ok,22.7267927820957,114.16609528452912,0.6830662452603944,8.258544721754946,764831,3
ok,22.7705386817883,134.66747449963452,1.0966302650362314,9.667412901730657,5986,4
ok,23.044627766891463,227.22209462746218,0.24833416201515895,11.42397372021274,402327,5
ok,23.118478042057365,183.62192165447848,0.578157323164106,4.693080163156149,821722,6
ok,23.261869501465686,252.9739537050345,0.4748481006625308,2.1005702327141553,898576,7
ok,23.450990265754278,160.19758377079322,0.29521491625966256,0.7809170937648173,860341,8
ok,23.608677623889264,285.180267997903,0.725163373479941,1.4611020054283785,929226,9
ok,23.756030799656344,167.84364588100533,0.20905726748219383,2.3254555505962626,984045,0
ok,23.81090360697214,212.91555423808342,0.39150627203595384,6.143319047067031,776474,1
ok,23.929760221789486,117.00781388934446,0.5932317343601146,0.8093415820728301,537395,2
ok,24.01999858326737,185.85822581522729,0.5419864614745841,3.1072881831008097,848444,3
ok,24.09002952977003,100.07250756222285,0.49799930965368755,2.096101196811527,135527,4
ok,24.127985706451373,231.50714379559207,0.5903587617916709,2.7812000961443712,543873,5
ok,24.24473383249098,202.54153851907753,0.2656727268889115,1.7616156042656719,815160,6
